Person,Date of birth,Birthplace,Country of birth,Award,Edition,Movie,Year of award,Bio NNDB,Bio IMDb,Bio Wikipedia,imdbID,movieID,movie_IMDB_Link,,Birth Year,Age When Award
Ian Hunter,2000/1/1,,,Best Visual Effects,87th Academy Awards,Interstellar,2015,,https://www.imdb.com/name/nm0402843,https://en.wikipedia.org/wiki/Ian_Hunter_(visual_effects_supervisor),nm0402843,tt0816692,https://www.imdb.com/title/tt0816692/,,2000,15
Matthew McConaughey,1969/11/4,Uvalde,United States of America,Best Actor,86th Academy Awards,Dallas Buyers Club,2014,https://www.nndb.com/people/583/000023514,https://www.imdb.com/name/nm0000190,https://en.wikipedia.org/wiki/Matthew_McConaughey,nm0000190,tt0790636,https://www.imdb.com/title/tt0790636/,,1969,45
Brad Pitt,1963/12/18,Shawnee,United States of America,Best Picture,86th Academy Awards,12 Years a Slave,2014,https://www.nndb.com/people/688/000025613,https://www.imdb.com/name/nm0000093,https://en.wikipedia.org/wiki/Brad_Pitt,nm0000093,tt2024544,https://www.imdb.com/title/tt2024544/,,1963,51
Steve McQueen,1969/10/9,London,United Kingdom,Best Picture,86th Academy Awards,12 Years a Slave,2014,,https://www.imdb.com/name/nm2588606,https://en.wikipedia.org/wiki/Steve_McQueen_(director),nm2588606,tt2024544,https://www.imdb.com/title/tt2024544/,,1969,45
Dede Gardner,1967/10/16,Winnetka,United States of America,Best Picture,86th Academy Awards,12 Years a Slave,2014,,https://www.imdb.com/name/nm0306890,https://en.wikipedia.org/wiki/Dede_Gardner,nm0306890,tt2024544,https://www.imdb.com/title/tt2024544/,,1967,47
Eddie Redmayne,1982/1/6,London,United Kingdom,Best Actor,87th Academy Awards,The Theory of Everything,2014,https://www.nndb.com/people/467/000269657,https://www.imdb.com/name/nm1519666,https://en.wikipedia.org/wiki/Eddie_Redmayne,nm1519666,tt2980516,https://www.imdb.com/title/tt2980516/,,1982,32
Emmanuel Lubezki,1964/11/30,Mexico City,Mexico,Best Cinematography,87th Academy Awards,Birdman,2014,,https://www.imdb.com/name/nm0523881,https://en.wikipedia.org/wiki/Emmanuel_Lubezki,nm0523881,tt2330698,https://www.imdb.com/title/tt2330698/,,1964,50
Cate Blanchett,1969/5/14,Melbourne,Australia,Best Actress,86th Academy Awards,Blue Jasmine,2014,https://www.nndb.com/people/222/000026144,https://www.imdb.com/name/nm0000949,https://en.wikipedia.org/wiki/Cate_Blanchett,nm0000949,tt2334873,https://www.imdb.com/title/tt2334873/,,1969,45
Emmanuel Lubezki,1964/11/30,Mexico City,Mexico,Best Cinematography,86th Academy Awards,Gravity,2013,,https://www.imdb.com/name/nm0523881,https://en.wikipedia.org/wiki/Emmanuel_Lubezki,nm0523881,tt2482116,https://www.imdb.com/title/tt2482116/,,1964,49
Daniel Day-Lewis,1957/4/29,London,United Kingdom,Best Actor,85th Academy Awards,Lincoln,2013,https://www.nndb.com/people/788/000022722,https://www.imdb.com/name/nm0000358,https://en.wikipedia.org/wiki/Daniel_Day-Lewis,nm0000358,tt0443272,https://www.imdb.com/title/tt0443272/,,1957,56
Jared Leto,1971/12/26,Bossier City,United States of America,Best Supporting Actor,86th Academy Awards,Dallas Buyers Club,2013,https://www.nndb.com/people/438/000026360,https://www.imdb.com/name/nm0001467,https://en.wikipedia.org/wiki/Jared_Leto,nm0001467,tt0790636,https://www.imdb.com/title/tt0790636/,,1971,42
Quentin Tarantino,1963/3/27,Knoxville,United States of America,"Best Writing, Original Screenplay",85th Academy Awards,Django Unchained,2012,https://www.nndb.com/people/664/000023595,https://www.imdb.com/name/nm0000233,https://en.wikipedia.org/wiki/Quentin_Tarantino,nm0000233,tt1853728,https://www.imdb.com/title/tt1853728/,,1963,49
Christoph Waltz,1956/10/4,Vienna,Austria,Best Supporting Actor,85th Academy Awards,Django Unchained,2012,https://www.nndb.com/people/455/000213813,https://www.imdb.com/name/nm0910607,https://en.wikipedia.org/wiki/Christoph_Waltz,nm0910607,tt1853728,https://www.imdb.com/title/tt1853728/,,1956,56
Jennifer Lawrence,1990/8/15,Indian Hills,United States of America,Best Actress,85th Academy Awards,Silver Linings Playbook,2012,https://www.nndb.com/people/597/000272778,https://www.imdb.com/name/nm2225369,https://en.wikipedia.org/wiki/Jennifer_Lawrence,nm2225369,tt1045658,https://www.imdb.com/title/tt1045658/,,1990,22
Ang Lee,1954/10/23,Chaozhou,Taiwan,Best Director,85th Academy Awards,Life of Pi,2012,https://www.nndb.com/people/394/000025319,https://www.imdb.com/name/nm0000487,https://en.wikipedia.org/wiki/Ang_Lee,nm0000487,tt0454876,https://www.imdb.com/title/tt0454876/,,1954,58
Jean Dujardin,1972/6/19,Rueil-Malmaison,France,Best Actor,84th Academy Awards,The Artist,2012,https://www.nndb.com/people/303/000281457,https://www.imdb.com/name/nm0241121,https://en.wikipedia.org/wiki/Jean_Dujardin,nm0241121,tt1655442,https://www.imdb.com/title/tt1655442/,,1972,40
Anne Hathaway,1982/11/12,New York City,United States of America,Best Supporting Actress,85th Academy Awards,Les Mis??rables,2012,https://www.nndb.com/people/220/000032124,https://www.imdb.com/name/nm0004266,https://en.wikipedia.org/wiki/Anne_Hathaway,nm0004266,tt1707386,https://www.imdb.com/title/tt1707386/,,1982,30
Natalie Portman,1981/6/9,Jerusalem,Israel,Best Actress,83rd Academy Awards,Black Swan,2011,https://www.nndb.com/people/040/000022971,https://www.imdb.com/name/nm0000204,https://en.wikipedia.org/wiki/Natalie_Portman,nm0000204,tt0947798,https://www.imdb.com/title/tt0947798/,,1981,30
Christian Bale,1974/1/30,Haverfordwest,United Kingdom,Best Supporting Actor,83rd Academy Awards,The Fighter,2011,https://www.nndb.com/people/877/000031784,https://www.imdb.com/name/nm0000288,https://en.wikipedia.org/wiki/Christian_Bale,nm0000288,tt0964517,https://www.imdb.com/title/tt0964517/,,1974,37
Meryl Streep,1949/6/22,Summit,United States of America,Best Actress,84th Academy Awards,The Iron Lady,2011,https://www.nndb.com/people/001/000024926,https://www.imdb.com/name/nm0000658,https://en.wikipedia.org/wiki/Meryl_Streep,nm0000658,tt1007029,https://www.imdb.com/title/tt1007029/,,1949,62
Trent Reznor,1965/5/17,New Castle,United States of America,Best Original Score,83rd Academy Awards,The Social Network,2011,https://www.nndb.com/people/534/000025459,https://www.imdb.com/name/nm0722153,https://en.wikipedia.org/wiki/Trent_Reznor,nm0722153,tt1285016,https://www.imdb.com/title/tt1285016/,,1965,46
