,budget,genre,id,imdb_id,overview,original_title,popularity,revenue,release_date,title,year,is_winner
660,94000000,Adventure,122,tt0167260,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The Lord of the Rings: The Return of the King,29.324358,1118888979,12/1/2003,The Lord of the Rings: The Return of the King,2003,TRUE
661,94000000,Fantasy,122,tt0167260,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The Lord of the Rings: The Return of the King,29.324358,1118888979,12/1/2003,The Lord of the Rings: The Return of the King,2003,TRUE
662,94000000,Action,122,tt0167260,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",The Lord of the Rings: The Return of the King,29.324358,1118888979,12/1/2003,The Lord of the Rings: The Return of the King,2003,TRUE
151,45000000,Action,1574,tt0299658,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,Chicago,13.325347,306776732,12/26/2002,Chicago,2002,TRUE
152,45000000,Comedy,1574,tt0299658,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,Chicago,13.325347,306776732,12/26/2002,Chicago,2002,TRUE
153,45000000,Crime,1574,tt0299658,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,Chicago,13.325347,306776732,12/26/2002,Chicago,2002,TRUE
154,45000000,Drama,1574,tt0299658,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,Chicago,13.325347,306776732,12/26/2002,Chicago,2002,TRUE
155,45000000,Music,1574,tt0299658,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,Chicago,13.325347,306776732,12/26/2002,Chicago,2002,TRUE
6,60000000,Drama,453,tt0268978,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..",A Beautiful Mind,11.93646,313542341,12/11/2001,A Beautiful Mind,2001,TRUE
7,60000000,Romance,453,tt0268978,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..",A Beautiful Mind,11.93646,313542341,12/11/2001,A Beautiful Mind,2001,TRUE
