,Name,Movie,Edition,Year of award,Award,Win?
146,Spencer Tracy,San Francisco,9,1937,LeadingActor,False
147,Irene Dunne,Theodora Goes Wild,9,1937,LeadingActress,False
148,Gladys George,Valiant Is the Word for Carrie,9,1937,LeadingActress,False
149,Carole Lombard,My Man Godfrey,9,1937,LeadingActress,False
150,Luise Rainer,The Great Ziegfeld,9,1937,LeadingActress,True
151,Norma Shearer,Romeo and Juliet,9,1937,LeadingActress,False
152,Gaetano Gaudio,Anthony Adverse,9,1937,Cinematography,True
153,Victor Milner,The General Died at Dawn,9,1937,Cinematography,False
154,George Folsey,The Gorgeous Hussy,9,1937,Cinematography,False
155,William Wyler,Dodsworth,9,1937,Director,False
156,Robert Z. Leonard,The Great Ziegfeld,9,1937,Director,False
157,Frank Capra,Mr. Deeds Goes to Town,9,1937,Director,True
158,Gregory La Cava,My Man Godfrey,9,1937,Director,False
159,W. S. Van Dyke,San Francisco,9,1937,Director,False
160,Charles Boyer,Conquest,10,1938,LeadingActor,False
161,Fredric March,A Star Is Born,10,1938,LeadingActor,False
162,Robert Montgomery,Night Must Fall,10,1938,LeadingActor,False
163,Paul Muni,The Life of Emile Zola,10,1938,LeadingActor,False
164,Spencer Tracy,Captains Courageous,10,1938,LeadingActor,True
165,Irene Dunne,The Awful Truth,10,1938,LeadingActress,False
166,Greta Garbo,Camille,10,1938,LeadingActress,False
167,Janet Gaynor,A Star Is Born,10,1938,LeadingActress,False
168,Luise Rainer,The Good Earth,10,1938,LeadingActress,True
169,Barbara Stanwyck,Stella Dallas,10,1938,LeadingActress,False
170,Gregg Toland,Dead End,10,1938,Cinematography,False
171,Karl Freund,The Good Earth,10,1938,Cinematography,True
172,Joseph Valentine,Wings over Honolulu,10,1938,Cinematography,False
173,Leo McCarey,The Awful Truth,10,1938,Director,True
174,Sidney Franklin,The Good Earth,10,1938,Director,False
175,William Dieterle,The Life of Emile Zola,10,1938,Director,False
176,Gregory La Cava,Stage Door,10,1938,Director,False
177,William Wellman,A Star Is Born,10,1938,Director,False
178,Charles Boyer,Algiers,11,1939,LeadingActor,False
179,James Cagney,Angels with Dirty Faces,11,1939,LeadingActor,False
180,Robert Donat,The Citadel,11,1939,LeadingActor,False
181,Leslie Howard,Pygmalion,11,1939,LeadingActor,False
182,Spencer Tracy,Boys Town,11,1939,LeadingActor,True
183,Fay Bainter,White Banners,11,1939,LeadingActress,False
184,Bette Davis,Jezebel,11,1939,LeadingActress,True
185,Wendy Hiller,Pygmalion,11,1939,LeadingActress,False
186,Norma Shearer,Marie Antoinette,11,1939,LeadingActress,False
187,Margaret Sullavan,Three Comrades,11,1939,LeadingActress,False
188,James Wong Howe,Algiers,11,1939,Cinematography,False
189,"Ernest Miller, Harry Wild",Army Girl,11,1939,Cinematography,False
190,Victor Milner,The Buccaneer,11,1939,Cinematography,False
191,Joseph Ruttenberg,The Great Waltz,11,1939,Cinematography,True
192,Ernest Haller,Jezebel,11,1939,Cinematography,False
193,Joseph Valentine,Mad about Music,11,1939,Cinematography,False
194,Norbert Brodine,Merrily We Live,11,1939,Cinematography,False
195,Peverell Marley,Suez,11,1939,Cinematography,False
196,Robert de Grasse,Vivacious Lady,11,1939,Cinematography,False
197,Joseph Walker,You Can't Take It with You,11,1939,Cinematography,False
198,Leon Shamroy,The Young in Heart,11,1939,Cinematography,False
199,Michael Curtiz,Four Daughters,11,1939,Director,False
200,Norman Taurog,Boys Town,11,1939,Director,False
201,King Vidor,The Citadel,11,1939,Director,False
202,Frank Capra,You Can't Take It with You,11,1939,Director,True
203,Robert Donat,"Goodbye, Mr. Chips",12,1940,LeadingActor,True
204,Clark Gable,Gone with the Wind,12,1940,LeadingActor,False
205,Laurence Olivier,Wuthering Heights,12,1940,LeadingActor,False
206,Mickey Rooney,Babes in Arms,12,1940,LeadingActor,False
207,James Stewart,Mr. Smith Goes to Washington,12,1940,LeadingActor,False
208,Bette Davis,Dark Victory,12,1940,LeadingActress,False
209,Irene Dunne,Love Affair,12,1940,LeadingActress,False
210,Greta Garbo,Ninotchka,12,1940,LeadingActress,False
211,Greer Garson,"Goodbye, Mr. Chips",12,1940,LeadingActress,False
212,Vivien Leigh,Gone with the Wind,12,1940,LeadingActress,True
213,Joseph Valentine,First Love,12,1940,Cinematography,True
214,Victor Milner,The Great Victor Herbert,12,1940,Cinematography,True
215,Joseph H. August,Gunga Din,12,1940,Cinematography,True
216,Gregg Toland,Wuthering Heights,12,1940,Cinematography,True
217,Tony Gaudio,Juarez,12,1940,Cinematography,True
218,George Folsey,Lady of the Tropics,12,1940,Cinematography,True
219,Norbert Brodine,Of Mice and Men,12,1940,Cinematography,True
220,Joseph Walker,Only Angels Have Wings,12,1940,Cinematography,True
221,Arthur Miller,The Rains Came,12,1940,Cinematography,True
222,Bert Glennon,Stagecoach,12,1940,Cinematography,False
223,"Ray Rennahan, Bert Glennon",Drums along the Mohawk,12,1940,Cinematography,True
224,"Georges Perinal, Osmond Borradaile",Four Feathers,12,1940,Cinematography,True
225,"Ernest Haller, Ray Rennahan",Gone with the Wind,12,1940,Cinematography,True
226,"William V. Skall, Bernard Knowles",The Mikado,12,1940,Cinematography,True
227,"Sol Polito, W. Howard Greene",The Private Lives of Elizabeth and Essex,12,1940,Cinematography,False
228,Hal Rosson,The Wizard of Oz,12,1940,Cinematography,True
229,Victor Fleming,Gone with the Wind,12,1940,Director,True
230,Sam Wood,"Goodbye, Mr. Chips",12,1940,Director,False
231,Frank Capra,Mr. Smith Goes to Washington,12,1940,Director,False
232,John Ford,Stagecoach,12,1940,Director,False
233,William Wyler,Wuthering Heights,12,1940,Director,False
234,Charles Chaplin,The Great Dictator,13,1941,LeadingActor,False
235,Henry Fonda,The Grapes of Wrath,13,1941,LeadingActor,False
236,Raymond Massey,Abe Lincoln in Illinois,13,1941,LeadingActor,False
237,Laurence Olivier,Rebecca,13,1941,LeadingActor,False
238,James Stewart,The Philadelphia Story,13,1941,LeadingActor,True
239,Bette Davis,The Letter,13,1941,LeadingActress,False
240,Joan Fontaine,Rebecca,13,1941,LeadingActress,False
