	Name	Movie	Year of award	bioID	year_awarded	movieID
74	Ann Harding	Holiday	1931	https://www.imdb.com/name/nm0362267/	1931	https://www.imdb.com/title/tt0020985/
75	Norma Shearer	A Free Soul	1931	https://www.imdb.com/name/nm0790454/	1931	https://www.imdb.com/title/tt0021885/
76	Edward Cronjager	Cimarron	1931	https://www.imdb.com/name/nm0005676/	1931	https://www.imdb.com/title/tt0021746/
77	Lee Garmes	Morocco	1931	https://www.imdb.com/name/nm0005716/	1931	https://www.imdb.com/title/tt0021156/
78	Charles Lang	The Right to Love	1931	https://www.imdb.com/name/nm0485702/	1931	https://www.imdb.com/title/tt0021301/
79	"Barney ""Chick"" McGill"	Svengali	1931	https://www.imdb.com/name/nm0569222/	1931	https://www.imdb.com/title/tt0022454/
80	Floyd Crosby	Tabu	1931	https://www.imdb.com/name/nm0005677/	1931	https://www.imdb.com/title/tt0022458/
81	Wesley Ruggles	Cimarron	1931	https://www.imdb.com/name/nm0749484/	1931	https://www.imdb.com/title/tt0021746/
82	Clarence Brown	A Free Soul	1931	https://www.imdb.com/name/nm0113284/	1931	https://www.imdb.com/title/tt0021885/
83	Lewis Milestone	The Front Page	1931	https://www.imdb.com/name/nm0587277/	1931	https://www.imdb.com/title/tt0021890/
84	Josef Von Sternberg	Morocco	1931	https://www.imdb.com/name/nm0903049/	1931	https://www.imdb.com/title/tt0021156/
85	Norman Taurog	Skippy	1931	https://www.imdb.com/name/nm0851537/	1931	https://www.imdb.com/title/tt0022397/
86	Wallace Beery	The Champ	1932	https://www.imdb.com/name/nm0000891/	1932	https://www.imdb.com/title/tt0021730/
87	Alfred Lunt	The Guardsman	1932	https://www.imdb.com/name/nm0526795/	1932	https://www.imdb.com/title/tt0021931/
88	Fredric March	Dr. Jekyll and Mr. Hyde	1932	https://www.imdb.com/name/nm0545298/	1932	https://www.imdb.com/title/tt0022835/
89	Marie Dressler	Emma	1932	https://www.imdb.com/name/nm0237597/	1932	https://www.imdb.com/title/tt0022854/
90	Lynn Fontanne	The Guardsman	1932	https://www.imdb.com/name/nm0285007/	1932	https://www.imdb.com/title/tt0021931/
91	Helen Hayes	The Sin of Madelon Claudet	1932	https://www.imdb.com/name/nm0371040/	1932	https://www.imdb.com/title/tt0022386/
92	Ray June	Arrowsmith	1932	https://www.imdb.com/name/nm0432482/	1932	https://www.imdb.com/title/tt0021622/
93	Karl Struss	Dr. Jekyll and Mr. Hyde	1932	https://www.imdb.com/name/nm0835365/	1932	https://www.imdb.com/title/tt0022835/
94	Lee Garmes	Shanghai Express	1932	https://www.imdb.com/name/nm0005716/	1932	https://www.imdb.com/title/tt0023458/
95	Frank Borzage	Bad Girl	1932	https://www.imdb.com/name/nm0097648/	1932	https://www.imdb.com/title/tt0021635/
96	King Vidor	The Champ	1932	https://www.imdb.com/name/nm0896542/	1932	https://www.imdb.com/title/tt0021730/
97	Josef Von Sternberg	Shanghai Express	1932	https://www.imdb.com/name/nm0903049/	1932	https://www.imdb.com/title/tt0023458/
98	Leslie Howard	Berkeley Square	1933	https://www.imdb.com/name/nm0001366/	1933	https://www.imdb.com/title/tt0023794/
99	Charles Laughton	The Private Life of Henry VIII	1933	https://www.imdb.com/name/nm0001452/	1933	https://www.imdb.com/title/tt0024473/
100	Paul Muni	I Am a Fugitive from a Chain Gang	1933	https://www.imdb.com/name/nm0612847/	1933	https://www.imdb.com/title/tt0023042/
101	Katharine Hepburn	Morning Glory	1933	https://www.imdb.com/name/nm0000031/	1933	https://www.imdb.com/title/tt0024353/
102	May Robson	Lady for a Day	1933	https://www.imdb.com/name/nm0733480/	1933	https://www.imdb.com/title/tt0024240/
103	Diana Wynyard	Cavalcade	1933	https://www.imdb.com/name/nm0944087/	1933	https://www.imdb.com/title/tt0023876/
