,Name,Movie,Edition,Year of award,Award,Win?
154,Henry Fonda,The Grapes of Wrath,13,1940,LeadingActor,False
155,Raymond Massey,Abe Lincoln in Illinois,13,1940,LeadingActor,False
156,Laurence Olivier,Rebecca,13,1940,LeadingActor,False
157,James Stewart,The Philadelphia Story,13,1940,LeadingActor,True
158,Albert Basserman,Foreign Correspondent,13,1940,SupportingActor,False
159,Walter Brennan,The Westerner,13,1940,SupportingActor,True
160,William Gargan,They Knew What They Wanted,13,1940,SupportingActor,False
161,Jack Oakie,The Great Dictator,13,1940,SupportingActor,False
162,James Stephenson,The Letter,13,1940,SupportingActor,False
163,Bette Davis,The Letter,13,1940,LeadingActress,False
164,Joan Fontaine,Rebecca,13,1940,LeadingActress,False
165,Katharine Hepburn,The Philadelphia Story,13,1940,LeadingActress,False
166,Ginger Rogers,Kitty Foyle,13,1940,LeadingActress,True
167,Martha Scott,Our Town,13,1940,LeadingActress,False
168,Judith Anderson,Rebecca,13,1940,SupportingActress,False
169,Jane Darwell,The Grapes of Wrath,13,1940,SupportingActress,True
170,Ruth Hussey,The Philadelphia Story,13,1940,SupportingActress,False
171,Barbara O'Neil,"All This, and Heaven Too",13,1940,SupportingActress,False
172,Marjorie Rambeau,Primrose Path,13,1940,SupportingActress,False
173,Gary Cooper,Sergeant York,14,1941,LeadingActor,True
174,Cary Grant,Penny Serenade,14,1941,LeadingActor,False
175,Walter Huston,All That Money Can Buy,14,1941,LeadingActor,False
176,Robert Montgomery,Here Comes Mr. Jordan,14,1941,LeadingActor,False
177,Orson Welles,Citizen Kane,14,1941,LeadingActor,False
178,Walter Brennan,Sergeant York,14,1941,SupportingActor,False
179,Charles Coburn,The Devil and Miss Jones,14,1941,SupportingActor,False
180,Donald Crisp,How Green Was My Valley,14,1941,SupportingActor,True
181,James Gleason,Here Comes Mr. Jordan,14,1941,SupportingActor,False
182,Sydney Greenstreet,The Maltese Falcon,14,1941,SupportingActor,False
183,Bette Davis,The Little Foxes,14,1941,LeadingActress,False
184,Olivia de Havilland,Hold Back the Dawn,14,1941,LeadingActress,False
185,Joan Fontaine,Suspicion,14,1941,LeadingActress,True
186,Greer Garson,Blossoms in the Dust,14,1941,LeadingActress,False
187,Barbara Stanwyck,Ball of Fire,14,1941,LeadingActress,False
188,Sara Allgood,How Green Was My Valley,14,1941,SupportingActress,False
189,Mary Astor,The Great Lie,14,1941,SupportingActress,True
190,Patricia Collinge,The Little Foxes,14,1941,SupportingActress,False
191,Teresa Wright,The Little Foxes,14,1941,SupportingActress,False
192,Margaret Wycherly,Sergeant York,14,1941,SupportingActress,False
193,James Cagney,Yankee Doodle Dandy,15,1942,LeadingActor,True
194,Ronald Colman,Random Harvest,15,1942,LeadingActor,False
195,Gary Cooper,The Pride of the Yankees,15,1942,LeadingActor,False
196,Walter Pidgeon,Mrs. Miniver,15,1942,LeadingActor,False
197,Monty Woolley,The Pied Piper,15,1942,LeadingActor,False
198,William Bendix,Wake Island,15,1942,SupportingActor,False
199,Van Heflin,Johnny Eager,15,1942,SupportingActor,True
200,Walter Huston,Yankee Doodle Dandy,15,1942,SupportingActor,False
201,Frank Morgan,Tortilla Flat,15,1942,SupportingActor,False
202,Henry Travers,Mrs. Miniver,15,1942,SupportingActor,False
203,Bette Davis,"Now, Voyager",15,1942,LeadingActress,False
204,Greer Garson,Mrs. Miniver,15,1942,LeadingActress,True
205,Katharine Hepburn,Woman of the Year,15,1942,LeadingActress,False
206,Rosalind Russell,My Sister Eileen,15,1942,LeadingActress,False
207,Teresa Wright,The Pride of the Yankees,15,1942,LeadingActress,False
208,Gladys Cooper,"Now, Voyager",15,1942,SupportingActress,False
209,Agnes Moorehead,The Magnificent Ambersons,15,1942,SupportingActress,False
210,Susan Peters,Random Harvest,15,1942,SupportingActress,False
211,Dame May Whitty,Mrs. Miniver,15,1942,SupportingActress,False
212,Teresa Wright,Mrs. Miniver,15,1942,SupportingActress,True
213,Humphrey Bogart,Casablanca,16,1943,LeadingActor,False
214,Gary Cooper,For Whom the Bell Tolls,16,1943,LeadingActor,False
215,Paul Lukas,Watch on the Rhine,16,1943,LeadingActor,True
216,Walter Pidgeon,Madame Curie,16,1943,LeadingActor,False
217,Mickey Rooney,The Human Comedy,16,1943,LeadingActor,False
218,Charles Bickford,The Song of Bernadette,16,1943,SupportingActor,False
219,Charles Coburn,The More the Merrier,16,1943,SupportingActor,True
220,J. Carrol Naish,Sahara,16,1943,SupportingActor,False
221,Claude Rains,Casablanca,16,1943,SupportingActor,False
222,Akim Tamiroff,For Whom the Bell Tolls,16,1943,SupportingActor,False
223,Jean Arthur,The More the Merrier,16,1943,LeadingActress,False
224,Ingrid Bergman,For Whom the Bell Tolls,16,1943,LeadingActress,False
225,Joan Fontaine,The Constant Nymph,16,1943,LeadingActress,False
226,Greer Garson,Madame Curie,16,1943,LeadingActress,False
227,Jennifer Jones,The Song of Bernadette,16,1943,LeadingActress,True
228,Gladys Cooper,The Song of Bernadette,16,1943,SupportingActress,False
229,Paulette Goddard,So Proudly We Hail!,16,1943,SupportingActress,False
