	Year of award	Movie	movieID	year_awarded
389	1987	The Last Emperor	https://www.imdb.com/title/tt0091235/	1987
390	1962	Lawrence of Arabia	https://www.imdb.com/title/tt0056172/	1962
391	2005	Crash	https://www.imdb.com/title/tt0375679/	2005
392	1958	Separate Tables	https://www.imdb.com/title/tt0052182/	1958
393	1973	A Touch of Class	https://www.imdb.com/title/tt0070819/	1973
394	2016	The Revenant	https://www.imdb.com/title/tt1663202/	2016
395	2008	Vicky Cristina Barcelona	https://www.imdb.com/title/tt0497465/	2008
396	1989	Rain Man	https://www.imdb.com/title/tt0095953/	1989
397	1979	Kramer vs. Kramer	https://www.imdb.com/title/tt0079417/	1979
398	1944	Gaslight	https://www.imdb.com/title/tt0036855/	1944
399	1991	City Slickers	https://www.imdb.com/title/tt0101587/	1991
400	1936	Come and Get It	https://www.imdb.com/title/tt0027459/	1936
401	1938	Jezebel	https://www.imdb.com/title/tt0030287/	1938
402	2018	I, Tonya	https://www.imdb.com/title/tt5580036/	2018
403	1957	Written on the Wind	https://www.imdb.com/title/tt0049966/	1957
404	2004	Million Dollar Baby	https://www.imdb.com/title/tt0405159/	2004
405	1952	High Noon	https://www.imdb.com/title/tt0044706/	1952
406	2018	Three Billboards Outside Ebbing, Missouri	https://www.imdb.com/title/tt5027774/	2018
407	1989	Who Framed Roger Rabbit	https://www.imdb.com/title/tt0096438/	1989
408	2008	Slumdog Millionaire	https://www.imdb.com/title/tt1010048/	2008
409	1971	Nicholas and Alexandra	https://www.imdb.com/title/tt0067483/	1971
410	1966	The Shadow of Your Smile	https://www.imdb.com/title/tt3481722/	1966
411	1971	Nicholas and Alexandra	https://www.imdb.com/title/tt0067483/	1971
412	1985	Purple Rain	https://www.imdb.com/title/tt0087957/	1985
413	1998	Saving Private Ryan	https://www.imdb.com/title/tt0120815/	1998
414	1979	A Little Romance	https://www.imdb.com/title/tt0079477/	1979
415	1946	The Best Years of Our Lives	https://www.imdb.com/title/tt0036868/	1946
416	1998	mente indomable	https://www.imdb.com/title/tt0119217/	1998
417	2007	There Will Be Blood	https://www.imdb.com/title/tt0469494/	2007
418	2012	Les Misérables	https://www.imdb.com/title/tt1707386/	2012
419	2017	La La Land	https://www.imdb.com/title/tt3783958/	2017
420	1953	From Here to Eternity	https://www.imdb.com/title/tt0045793/	1953
421	1938	Pygmalion	https://www.imdb.com/title/tt0029451/	1938
422	1968	Robert Kennedy Remembered	https://www.imdb.com/title/tt0063514/	1968
423	1986	The Mission	https://www.imdb.com/title/tt0511124/	1986
424	1979	Apocalypse Now	https://www.imdb.com/title/tt0078788/	1979
425	1989	Born on the Fourth of July	https://www.imdb.com/title/tt0096969/	1989
426	1944	Watch on the Rhine	https://www.imdb.com/title/tt0036515/	1944
427	1978	The Deer Hunter	https://www.imdb.com/title/tt0077416/	1978
428	1986	The Color of Money	https://www.imdb.com/title/tt0090863/	1986
429	2011	Beginners	https://www.imdb.com/title/tt1532503/	2011
430	1995	Braveheart	https://www.imdb.com/title/tt0112573/	1995
431	1956	Anastasia	https://www.imdb.com/title/tt0048947/	1956
432	2008	Milk	https://www.imdb.com/title/tt0446403/	2008
433	1966	The Fortune Cookie	https://www.imdb.com/title/tt0060424/	1966
434	1996	Fargo	https://www.imdb.com/title/tt0116282/	1996
435	2008	The Dark Knight	https://www.imdb.com/title/tt0468569/	2008
436	2010	The Blind Side	https://www.imdb.com/title/tt0878804/	2010
437	1974	The Godfather Part II	https://www.imdb.com/title/tt0068646/	1974
