,title,oscar_num,year,producer,is_winner,budget,genres,id,imdb_id,overview,original_title,popularity,revenue,release_date,award_year
27,Anne of the Thousand Days,42,1969,"Hal B. Wallis, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}]",22522,tt0064030,"Henry VIII of England discards one wife, Katharine of Aragon, who has failed to produce a male heir, in favor of the young and beautiful Anne Boleyn.",Anne of the Thousand Days,3.163027,0,1969/12/18,1969/12/31
28,Annie Hall,50,1977,"Charles H. Joffe, Producer",TRUE,4000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",703,tt0075686,"In the city of New York, comedian Alvy Singer falls in love with the ditsy Annie Hall.",Annie Hall,18.146043,38251425,1977/4/19,1977/12/31
29,Apocalypse Now,52,1979,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",FALSE,31500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",28,tt0078788,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Apocalypse Now,13.5963,89460381,1979/8/15,1979/12/31
30,Apollo 13,68,1995,"Brian Grazer, Producer",FALSE,52000000,"[{'id': 18, 'name': 'Drama'}]",568,tt0112384,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",Apollo 13,18.761467,355237933,1995/6/30,1995/12/31
31,Argo,85,2012,"Grant Heslov, Ben Affleck and George Clooney, Producers",TRUE,44500000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",68734,tt1024648,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",Argo,14.238234,232324128,2012/10/11,2012/12/31
32,Arrival,89,2016,"Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers",FALSE,47000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",329865,tt2543164,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",Arrival,30.83786,203388186,2016/11/10,2016/12/31
33,As Good as It Gets,70,1997,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",FALSE,50000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2898,tt0119822,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",As Good as It Gets,9.374049,314178011,1997/12/19,1997/12/31
34,Atlantic City,54,1981,"Denis Heroux and John Kemeny, Producers",FALSE,7200000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",23954,tt0080388,"Lou (Burt Lancaster), a small time gangster who thinks he used to be something big, meets and falls for a sexy casino employee named Sally (Susan Sarandon). She needs his help realizing her dream of going to Monte Carlo, a symbol of the glamorous life that she has been looking for so desperately.",Atlantic City,3.835188,12729678,1980/9/2,1981/12/31
35,Atonement,80,2007,"Tim Bevan, Eric Fellner and Paul Webster, Producers",FALSE,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4347,tt0783233,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",Atonement,8.913338,129266061,2007/8/29,2007/12/31
36,Avatar,82,2009,"James Cameron and Jon Landau, Producers",FALSE,237000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",19995,tt0499549,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Avatar,185.070892,2787965087,2009/12/10,2009/12/31
