,title,oscar_num,year,producer,is_winner,budget,genres,id,imdb_id,overview,original_title,popularity,revenue,release_date,award_year
117,Get Out,90,2017,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers",FALSE,5000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",419430,tt5052448,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",Get Out,36.894806,252434250,2017/2/24,2017/12/31
118,Ghost,63,1990,"Lisa Weinstein, Producer",FALSE,0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",138853,tt1655400,"Nanami Hoshino, a wealthy entrepreneur, marries Korean potter Kim Jun-ho, and they both live a seemingly happy life. Then, one year after their marriage, Nanami is killed by a biker on her way home. This tragedy leaves Jun-ho completely devastated. At the hospital, Nanami's ghost arises from her body, and upon meeting a ghost child, she realizes that she is a ghost whose presence cannot be seen. She then realizes that her death was no coincidence and Jun-ho is in imminent danger. Unable to communicate with normal humans, Nanami seeks help from the elderly psychic Unten in hopes of saving Jun-ho's life.",???????????? ?????????????????????????????????,0.215013,9833553,2010/11/13,1990/12/31
119,Ghost,63,1990,"Lisa Weinstein, Producer",FALSE,0,"[{'id': 27, 'name': 'Horror'}]",84240,tt2175671,Ghost is a horror flick with an element of romance in it. It is set in a hospital with Sayali Bhagat playing a doctor and Shiney Ahuja playing a debonair detective. The movie has been directed by Puja Jatinder Bedi.,Ghost,0.059593,0,2012/1/13,1990/12/31
120,Ghost,63,1990,"Lisa Weinstein, Producer",FALSE,22000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",251,tt0099653,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",Ghost,11.945397,5.05E+08,1990/7/12,1990/12/31
121,Ghost,63,1990,"Lisa Weinstein, Producer",FALSE,0,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",332512,tt4559932,An aircraft designer becomes a ghost after a sudden death. Now he needs to engage a help of seven-grader in order to finish all his unaccomplished tasks.,???€?????€????,1.041195,3300000,2015/3/26,1990/12/31
122,Gladiator,73,2000,"Douglas Wick, David Franzoni and Branko Lustig, Producers",TRUE,103000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",98,tt0172495,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",Gladiator,23.186667,457640427,2000/5/1,2000/12/31
123,"Good Night, and Good Luck.",78,2005,"Grant Heslov, Producer",FALSE,7000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",3291,tt0433383,"The story of journalist, Edward R Murrow's stand against Senator McCarthy's anti-communist witch-hunts in the early 1950s.","Good Night, and Good Luck.",7.523098,54600000,2005/9/16,2005/12/31
124,Good Will Hunting,70,1997,"Lawrence Bender, Producer",FALSE,10000000,"[{'id': 18, 'name': 'Drama'}]",489,tt0119217,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",Good Will Hunting,15.064833,225933435,1997/12/5,1997/12/31
125,Gosford Park,74,2001,"Robert Altman, Bob Balaban and David Levy, Producers",FALSE,19800000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",5279,tt0280707,"Multiple storylined drama set in 1932, showing the lives of upstairs guest and downstairs servants at a party in a country house in England.",Gosford Park,14.101101,87754044,2001/11/7,2001/12/31
126,Gravity,86,2013,"Alfonso Cuar??n and David Heyman, Producers",FALSE,105000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",49047,tt1454468,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",Gravity,18.50194,716392705,2013/9/27,2013/12/31
127,Guess Who's Coming to Dinner,40,1967,"Stanley Kramer, Producer",FALSE,4000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1879,tt0061735,Matt and Christina Drayton are a couple whose attitudes are challenged when their daughter brings home a fianc?? who is black.,Guess Who's Coming to Dinner,5.032469,56666667,1967/12/11,1967/12/31
128,Hacksaw Ridge,89,2016,"Bill Mechanic and David Permut, Producers",FALSE,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",324786,tt2119532,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",Hacksaw Ridge,21.037699,175302354,2016/10/7,2016/12/31
129,Hannah and Her Sisters,59,1986,"Robert Greenhut, Producer",FALSE,6400000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",5143,tt0091167,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",Hannah and Her Sisters,9.57874,40084041,1986/2/7,1986/12/31
130,Heaven Can Wait,51,1978,"Warren Beatty, Producer",FALSE,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",12185,tt0077663,"Joe Pendleton is a quarterback preparing to lead his team to the superbowl when he is almost killed in an accident. An overanxious angel plucks him to heaven only to discover that he wasn't ready to die, and that his body has been cremated. A new body must be found, and that of a recently murdered millionaire is chosen. His wife and accountant, the murderers, are confused by this development, as he buys the L.A. Rams in order to once again quarterback them into the Superbowl.",Heaven Can Wait,5.232475,0,1978/6/28,1978/12/31
131,Hell or High Water,89,2016,"Carla Hacken and Julie Yorn, Producers",FALSE,12000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 37, 'name': 'Western'}]",338766,tt2582782,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,Hell or High Water,12.565896,37589296,2016/8/12,2016/12/31
132,"Hello, Dolly!",42,1969,"Ernest Lehman, Producer",FALSE,24000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",14030,tt0064418,"Matchmaker, Dolly Levi takes a trip to Yonkers, New York to see the ""well-known unmarried half-a-millionaire,"" Horace Vandergelder. While there, she convinces him, his two stock clerks and his niece and her beau to go to New York City.","Hello, Dolly!",8.407519,33208099,1969/12/12,1969/12/31
133,Her,86,2013,"Megan Ellison, Spike Jonze and Vincent Landay, Producers",FALSE,23000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",152601,tt1798709,"In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",Her,13.829515,47351251,2013/12/18,2013/12/31
134,Hidden Figures,89,2016,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers",FALSE,25000000,"[{'id': 18, 'name': 'Drama'}]",381284,tt4846340,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson ?€? brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history ?€? the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",Hidden Figures,16.816834,230698791,2016/12/10,2016/12/31
135,Hope and Glory,60,1987,"John Boorman, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",32054,tt0093209,"British writer/director John Boorman (The Emerald Forest) draws us into an astonishing and exhilarating portrait of his own childhood, set against the terrors of a London torn apart by the onset of WWII. Seven-year-old Billy Rohan (Sebastian Rice Edwards) finds his childhood to be atime of great dangerand even greater discovery. From thunderous bombings at his own doorstep andthe constant threat of Luftwaffe air raids to the landing of a German paratrooper in his neighborhood and the joyous obliteration of his much-hated school, Billy's young life is shapedand even enrichedby the one positive thing war has brought him: liberation from the ordinary. And though Billy is surrounded by decimation and the smoking remnants of ruined lives, his sense of enchanted wonderment and innocence in the face of man's most destructive folly affect him in a way that alters his life forever.",Hope and Glory,3.390491,0,1987/9/3,1987/12/31
136,How the West Was Won,36,1963,"Bernard Smith, Producer",FALSE,15000000,"[{'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}, {'id': 12, 'name': 'Adventure'}]",11897,tt0056085,"The epic tale of the development of the American West from the 1830s through the Civil War to the end of the century, as seen through the eyes of one pioneer family.",How the West Was Won,7.281721,5.00E+07,1962/11/1,1963/12/31
137,Howards End,65,1992,"Ismail Merchant, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8293,tt0104454,"Merchant Ivory?€?s adaptation of EM Forster?€?s classic 1910 novel, starring Emma Thompson, Helena Bonham Carter, Anthony Hopkins & Vanessa Redgrave returns to the big screen in a beautiful new 4K restoration. Stunning location photography, lavishly detailed sets & elegant period costumes, this compelling saga follows the interwoven fates and misfortunes of three families amid the changing times of Edwardian England. It tells the story of two free-spirited, cosmopolitan sisters, Margaret (Emma Thompson) and Helen Schlegel (Helena Bonham Carter), who collide with the world of the very wealthy ?????€? one sister benefiting from the acquaintance with the Wilcoxes (owners of the beloved country home Howards End), the other all but destroyed by it. Anthony Hopkins is the conservative industrialist Henry Wilcox and Vanessa Redgrave is his ailing wife Ruth Wilcox.",Howards End,10.854598,25966555,1992/3/13,1992/12/31
138,Hugo,84,2011,"Graham King and Martin Scorsese, Producers",FALSE,170000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",44826,tt0970179,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",Hugo,14.046164,185770160,2011/11/22,2011/12/31
139,In the Bedroom,74,2001,"Graham Leader, Ross Katz and Todd Field, Producers",FALSE,1700000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1999,tt0247425,"Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. He is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy.",In the Bedroom,9.698269,0,2001/11/23,2001/12/31
140,In the Heat of the Night,40,1967,"Walter Mirisch, Producer",TRUE,2000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",10633,tt0061811,An African American detective is asked to investigate a murder in a racist southern town.,In the Heat of the Night,9.059617,27379978,1967/8/2,1967/12/31
141,In the Name of the Father,66,1993,"Jim Sheridan, Producer",FALSE,13000000,"[{'id': 18, 'name': 'Drama'}]",7984,tt0107207,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",In the Name of the Father,7.405895,65796862,1993/12/12,1993/12/31
142,Inception,83,2010,"Emma Thomas and Christopher Nolan, Producers",FALSE,160000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",27205,tt1375666,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Inception,29.108149,825532764,2010/7/14,2010/12/31
143,Inglourious Basterds,82,2009,"Lawrence Bender, Producer",FALSE,70000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",16869,tt0361748,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",Inglourious Basterds,16.89564,319131050,2009/8/18,2009/12/31
144,Jaws,48,1975,"Richard D. Zanuck and David Brown, Producers",FALSE,7000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",578,tt0073195,"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.",Jaws,19.726114,470654000,1975/6/18,1975/12/31
145,Jerry Maguire,69,1996,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",FALSE,50000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9390,tt0116695,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",Jerry Maguire,11.807601,273552592,1996/12/6,1996/12/31
146,JFK,64,1991,"A. Kitman Ho and Oliver Stone, Producers",FALSE,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 36, 'name': 'History'}]",820,tt0102138,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,JFK,13.813146,205405498,1991/12/20,1991/12/31
147,Julia,50,1977,"Richard Roth, Producer",FALSE,6000000,"[{'id': 18, 'name': 'Drama'}]",7351,tt0903627,An alcoholic becomes involved in a fellow A.A. member's plan to kidnap her young son from the boy's wealthy grandfather.,Julia,2.002032,1300000,2008/2/9,1977/12/31
148,Julia,50,1977,"Richard Roth, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",42222,tt0076245,"At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.",Julia,8.074031,0,1977/10/2,1977/12/31
149,Julia,50,1977,"Richard Roth, Producer",FALSE,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",278632,tt2582426,"After suffering a brutal trauma, Julia uses an unorthodox form of therapy to restore herself.",Julia,2.333511,2710,2014/10/14,1977/12/31
150,Juno,80,2007,"Lianne Halfon, Mason Novick and Russell Smith, Producers",FALSE,7500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7326,tt0467406,"A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up.",Juno,11.791591,231411584,2007/12/5,2007/12/31
151,Kiss of the Spider Woman,58,1985,"David Weisman, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",11703,tt0089424,"Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis, a homosexual, is found guilty of immoral behaviour and Valentin is a political prisoner. To escape reality Luis invents romantic movies, while Valentin tries to keep his mind on the situation he's in. During the time they spend together, the two men come to understand and respect one another.",Kiss of the Spider Woman,3.570377,0,1985/7/26,1985/12/31
152,Kramer vs. Kramer,52,1979,"Stanley R. Jaffe, Producer",TRUE,8000000,"[{'id': 18, 'name': 'Drama'}]",12102,tt0079417,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",Kramer vs. Kramer,9.741644,106260000,1979/12/18,1979/12/31
153,L.A. Confidential,70,1997,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",FALSE,35000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2118,tt0119488,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,L.A. Confidential,10.989442,126216940,1997/9/19,1997/12/31
154,La La Land,89,2016,"Fred Berger, Jordan Horowitz and Marc Platt, Producers",FALSE,30000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",313369,tt3783958,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",La La Land,19.681686,445435700,2016/11/29,2016/12/31
155,Lawrence of Arabia,35,1962,"Sam Spiegel, Producer",TRUE,15000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",947,tt0056172,"An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",Lawrence of Arabia,10.893332,69995385,1962/12/10,1962/12/31
156,Lenny,47,1974,"Marvin Worth, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",27094,tt0071746,"The story of acerbic 1960s comic Lenny Bruce, whose groundbreaking, no-holds-barred style and social commentary was often deemed by the Establisment as too obscene for the public.",Lenny,7.285627,0,1974/11/10,1974/12/31
157,Les Mis??rables,85,2012,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",FALSE,61000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",82695,tt1707386,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",Les Mis??rables,13.52408,441809770,2012/12/18,2012/12/31
158,Letters from Iwo Jima,79,2006,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",FALSE,19000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1251,tt0498380,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",Letters from Iwo Jima,11.649588,68673228,2006/12/19,2006/12/31
159,Life Is Beautiful,71,1998,"Elda Ferri and Gianluigi Braschi, Producers",FALSE,20000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",637,tt0118799,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,La vita ?? bella,39.39497,229400000,1997/12/20,1998/12/31
160,Life of Pi,85,2012,"Gil Netter, Ang Lee and David Womark, Producers",FALSE,120000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",87827,tt0454876,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",Life of Pi,14.045042,609016565,2012/11/20,2012/12/31
161,Lilies of the Field,36,1963,"Ralph Nelson, Producer",FALSE,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",38805,tt0057251,"An unemployed construction worker (Homer Smith) heading out west stops at a remote farm in the desert to get water when his car overheats. The farm is being worked by a group of East European Catholic nuns, headed by the strict mother superior (Mother Maria), who believes that Homer has been sent by God to build a much needed church in the desert...",Lilies of the Field,1.114368,0,1963/6/4,1963/12/31
162,Lincoln,85,2012,"Steven Spielberg and Kathleen Kennedy, Producers",FALSE,65000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",72976,tt0443272,"A revealing drama that focuses on the 16th President's tumultuous final months in office. In a nation divided by war and the strong winds of change, Lincoln pursues a course of action designed to end the war, unite the country and abolish slavery. With the moral courage and fierce determination to succeed, his choices during this critical moment will change the fate of generations to come.",Lincoln,10.680331,275293450,2012/11/9,2012/12/31
163,Lion,89,2016,"Emile Sherman, Iain Canning and Angie Fielder, Producers",FALSE,12000000,"[{'id': 18, 'name': 'Drama'}]",334543,tt3741834,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",Lion,17.085145,140302754,2016/11/24,2016/12/31
164,Little Miss Sunshine,79,2006,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",FALSE,8000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",773,tt0449059,"A family loaded with quirky, colorful characters piles into an old van and road trips to California for little Olive to compete in a beauty pageant.",Little Miss Sunshine,5.320117,100523181,2006/7/26,2006/12/31
165,Lost in Translation,76,2003,"Ross Katz and Sofia Coppola, Producers",FALSE,4000000,"[{'id': 18, 'name': 'Drama'}]",153,tt0335266,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",Lost in Translation,11.609441,119723856,2003/8/31,2003/12/31
166,Love Story,43,1970,"Howard G. Minsky, Producer",FALSE,2200000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",9062,tt0066011,"Harvard Law student Oliver Barrett IV and music student Jennifer Cavilleri share a chemistry they cannot deny - and a love they cannot ignore. Despite their opposite backgrounds, the young couple put their hearts on the line for each other. When they marry, Oliver's wealthy father threatens to disown him. Jenny tries to reconcile the Barrett men, but to no avail.",Love Story,6.127903,136400000,1970/12/16,1970/12/31
167,M*A*S*H,43,1970,"Ingo Preminger, Producer",FALSE,3500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",651,tt0066026,"One of the world's most acclaimed comedies, MASH focuses on three Korean War Army surgeons brilliantly brought to life by Donald Sutherland, Tom Skerritt and Elliott Gould. Though highly skilled and deeply dedicated, they adopt a hilarious, lunatic lifestyle as an antidote to the tragedies of their Mobile Army Surgical Hospital, and in the process infuriate Army bureaucrats. Robert Duvall, Gary Burghoff and Sally Kellerman co-star as a sanctimonious Major, an other-worldly Corporal, and a self-righteous yet lusty nurse.",M*A*S*H,7.701349,81600000,1970/1/24,1970/12/31
168,Mad Max: Fury Road,88,2015,"Doug Mitchell and George Miller, Producers",FALSE,150000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",76341,tt1392190,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",Mad Max: Fury Road,29.36178,378858340,2015/5/13,2015/12/31
169,Manchester by the Sea,89,2016,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers",FALSE,9000000,"[{'id': 18, 'name': 'Drama'}]",334541,tt4034228,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",Manchester by the Sea,12.821257,75026965,2016/11/18,2016/12/31
170,Mary Poppins,37,1964,"Walt Disney and Bill Walsh, Producers",FALSE,6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",433,tt0058331,"The movie combines a diverting story, songs, color and sequences of live action blended with the movements of animated figures. Mary Poppins is a kind of Super-nanny who flies in with her umbrella in response to the request of the Banks children and proceeds to put things right with the aid of her rather extraordinary magical powers before flying off again.",Mary Poppins,15.11549,102272727,1964/8/27,1964/12/31
171,Master and Commander: The Far Side of the World,76,2003,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers",FALSE,150000000,"[{'id': 12, 'name': 'Adventure'}]",8619,tt0311113,"After an abrupt and violent encounter with a French warship inflicts severe damage upon his ship, a captain of the British Royal Navy begins a chase over two oceans to capture or destroy the enemy, though he must weigh his commitment to duty and ferocious pursuit of glory against the safety of his devoted crew, including the ship's thoughtful surgeon, his best friend.",Master and Commander: The Far Side of the World,8.693298,212011111,2003/11/14,2003/12/31
172,Michael Clayton,80,2007,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",FALSE,25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]",4566,tt0465538,A law firm brings in its 'fixer' to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.,Michael Clayton,7.857078,92991835,2007/9/28,2007/12/31
