,Name,Movie,Edition,Year of award,Award,Win?,bioID,movieID,movieLink,bioLink,tconst,averageRating,numVotes
44,(Victor Milner),The Love Parade,3,1930,Cinematography,True,nm0005800,tt0020112,https://www.imdb.com/title/tt0020112/,https://www.imdb.com/name/nm0005800/,tt0020112,7.1,1836
45,Ernst Lubitsch,The Love Parade,3,1930,Director,False,nm0523932,tt0020112,https://www.imdb.com/title/tt0020112/,https://www.imdb.com/name/nm0523932/,tt0020112,7.1,1836
46,Ronald Colman,Bulldog Drummond,3,1930,LeadingActor,False,nm0172903,tt0019735,https://www.imdb.com/title/tt0019735/,https://www.imdb.com/name/nm0172903/,tt0019735,6.4,789
47,Ronald Colman,Condemned,3,1930,LeadingActor,False,nm0172903,tt0019785,https://www.imdb.com/title/tt0019785/,https://www.imdb.com/name/nm0172903/,tt0019785,6.4,316
48,Lawrence Tibbett,The Rogue Song,3,1930,LeadingActor,False,nm0862546,tt0021307,https://www.imdb.com/title/tt0021307/,https://www.imdb.com/name/nm0862546/,tt0021307,5.9,109
49,Nancy Carroll,The Devil's Holiday,3,1930,LeadingActress,False,nm0140943,tt0020823,https://www.imdb.com/title/tt0020823/,https://www.imdb.com/name/nm0140943/,tt0020823,6.0,132
50,Ruth Chatterton,Sarah and Son,3,1930,LeadingActress,False,nm0154183,tt0021335,https://www.imdb.com/title/tt0021335/,https://www.imdb.com/name/nm0154183/,tt0021335,5.7,184
51,Greta Garbo,Anna Christie,3,1930,LeadingActress,False,nm0001256,tt0020641,https://www.imdb.com/title/tt0020641/,https://www.imdb.com/name/nm0001256/,tt0020641,6.7,2626
52,(William Daniels),Anna Christie,3,1930,Cinematography,True,nm0200122,tt0020641,https://www.imdb.com/title/tt0020641/,https://www.imdb.com/name/nm0200122/,tt0020641,6.7,2626
53,Clarence Brown,Anna Christie;,3,1930,Director,False,nm0113284,tt0020641,https://www.imdb.com/title/tt0020641/,https://www.imdb.com/name/nm0113284/,tt0020641,6.7,2626
54,Greta Garbo,Romance,3,1930,LeadingActress,False,nm0001256,tt0019711,https://www.imdb.com/title/tt0019711/,https://www.imdb.com/name/nm0001256/,tt0019711,6.4,20
55,Clarence Brown,Romance,3,1930,Director,False,nm0113284,tt0019711,https://www.imdb.com/title/tt0019711/,https://www.imdb.com/name/nm0113284/,tt0019711,6.4,20
56,Norma Shearer,Their Own Desire,3,1930,LeadingActress,True,nm0790454,tt0020488,https://www.imdb.com/title/tt0020488/,https://www.imdb.com/name/nm0790454/,tt0020488,5.9,491
57,Gloria Swanson,The Trespasser,3,1930,LeadingActress,False,nm0841797,tt0020514,https://www.imdb.com/title/tt0020514/,https://www.imdb.com/name/nm0841797/,tt0020514,6.6,1194
58,(Arthur Edeson),All Quiet on the Western Front,3,1930,Cinematography,True,nm0249186,tt0020629,https://www.imdb.com/title/tt0020629/,https://www.imdb.com/name/nm0249186/,tt0020629,8.0,54914
59,Lewis Milestone,All Quiet on the Western Front,3,1930,Director,True,nm0587277,tt0020629,https://www.imdb.com/title/tt0020629/,https://www.imdb.com/name/nm0587277/,tt0020629,8.0,54914
60,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,3,1930,Cinematography,True,nm0309974,tt0020960,https://www.imdb.com/title/tt0020960/,https://www.imdb.com/name/nm0309974/,tt0020960,7.4,4594
61,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,3,1930,Cinematography,True,nm0748530,tt0020594,https://www.imdb.com/title/tt0020594/,https://www.imdb.com/name/nm0748530/awards,tt0020594,7.0,265
62,Robert Leonard,The Divorcee,3,1930,Director,False,nm0000494,tt0020827,https://www.imdb.com/title/tt0020827/,https://www.imdb.com/name/nm0000494/,tt0020827,6.8,2551
63,King Vidor,Hallelujah,3,1930,Director,False,nm0896542,tt0019959,https://www.imdb.com/title/tt0019959/,https://www.imdb.com/name/nm0896542/,tt0019959,6.8,1477
64,Lionel Barrymore,A Free Soul,4,1931,LeadingActor,True,nm0000859,tt0021885,https://www.imdb.com/title/tt0021885/,https://www.imdb.com/name/nm0000859/,tt0021885,6.7,2117
65,Norma Shearer,A Free Soul,4,1931,LeadingActress,False,nm0790454,tt0021885,https://www.imdb.com/title/tt0021885/,https://www.imdb.com/name/nm0790454/,tt0021885,6.7,2117
66,Clarence Brown,A Free Soul,4,1931,Director,False,nm0113284,tt0021885,https://www.imdb.com/title/tt0021885/,https://www.imdb.com/name/nm0113284/,tt0021885,6.7,2117
67,Jackie Cooper,Skippy,4,1931,LeadingActor,False,nm0178114,tt0022397,https://www.imdb.com/title/tt0022397/,https://www.imdb.com/name/nm0178114/,tt0022397,6.3,641
68,Norman Taurog,Skippy,4,1931,Director,True,nm0851537,tt0022397,https://www.imdb.com/title/tt0022397/,https://www.imdb.com/name/nm0851537/,tt0022397,6.3,641
69,Richard Dix,Cimarron,4,1931,LeadingActor,False,nm0228715,tt0021746,https://www.imdb.com/title/tt0021746/,https://www.imdb.com/name/nm0228715/,tt0021746,5.9,5017
70,Irene Dunne,Cimarron,4,1931,LeadingActress,False,nm0002050,tt0021746,https://www.imdb.com/title/tt0021746/,https://www.imdb.com/name/nm0002050/,tt0021746,5.9,5017
71,Edward Cronjager,Cimarron,4,1931,Cinematography,False,nm0005676,tt0021746,https://www.imdb.com/title/tt0021746/,https://www.imdb.com/name/nm0005676/,tt0021746,5.9,5017
72,Wesley Ruggles,Cimarron,4,1931,Director,False,nm0749484,tt0021746,https://www.imdb.com/title/tt0021746/,https://www.imdb.com/name/nm0749484/,tt0021746,5.9,5017
73,Fredric March,The Royal Family of Broadway,4,1931,LeadingActor,False,nm0545298,tt0021322,https://www.imdb.com/title/tt0021322/,https://www.imdb.com/name/nm0545298/,tt0021322,6.4,276
74,Adolphe Menjou,The Front Page,4,1931,LeadingActor,False,nm0579663,tt0021890,https://www.imdb.com/title/tt0021890/,https://www.imdb.com/name/nm0579663/,tt0021890,6.7,2182
75,Lewis Milestone,The Front Page,4,1931,Director,False,nm0587277,tt0021890,https://www.imdb.com/title/tt0021890/,https://www.imdb.com/name/nm0587277/,tt0021890,6.7,2182
76,Marlene Dietrich,Morocco,4,1931,LeadingActress,False,nm0000017,tt0021156,https://www.imdb.com/title/tt0021156/,https://www.imdb.com/name/nm0000017/,tt0021156,7.1,5193
77,Lee Garmes,Morocco,4,1931,Cinematography,False,nm0005716,tt0021156,https://www.imdb.com/title/tt0021156/,https://www.imdb.com/name/nm0005716/,tt0021156,7.1,5193
78,Josef Von Sternberg,Morocco,4,1931,Director,False,nm0903049,tt0021156,https://www.imdb.com/title/tt0021156/,https://www.imdb.com/name/nm0903049/,tt0021156,7.1,5193
79,Marie Dressler,Min and Bill,4,1931,LeadingActress,True,nm0237597,tt0021148,https://www.imdb.com/title/tt0021148/,https://www.imdb.com/name/nm0237597/,tt0021148,6.8,1444
80,Ann Harding,Holiday,4,1931,LeadingActress,False,nm0362267,tt0020985,https://www.imdb.com/title/tt0020985/,https://www.imdb.com/name/nm0362267/,tt0020985,6.5,291
81,Charles Lang,The Right to Love,4,1931,Cinematography,False,nm0485702,tt0021301,https://www.imdb.com/title/tt0021301/,https://www.imdb.com/name/nm0485702/,tt0021301,5.4,19
82,"Barney ""Chick"" McGill",Svengali,4,1931,Cinematography,False,nm0569222,tt0022454,https://www.imdb.com/title/tt0022454/,https://www.imdb.com/name/nm0569222/,tt0022454,6.8,1626
83,Floyd Crosby,Tabu,4,1931,Cinematography,True,nm0005677,tt0022458,https://www.imdb.com/title/tt0022458/,https://www.imdb.com/name/nm0005677/,tt0022458,7.5,4628
84,Wallace Beery,The Champ,5,1932,LeadingActor,False,nm0000891,tt0021730,https://www.imdb.com/title/tt0021730/,https://www.imdb.com/name/nm0000891/,tt0021730,7.3,2561
85,King Vidor,The Champ,5,1932,Director,False,nm0896542,tt0021730,https://www.imdb.com/title/tt0021730/,https://www.imdb.com/name/nm0896542/,tt0021730,7.3,2561
86,Alfred Lunt,The Guardsman,5,1932,LeadingActor,False,nm0526795,tt0021931,https://www.imdb.com/title/tt0021931/,https://www.imdb.com/name/nm0526795/,tt0021931,6.5,413
87,Lynn Fontanne,The Guardsman,5,1932,LeadingActress,False,nm0285007,tt0021931,https://www.imdb.com/title/tt0021931/,https://www.imdb.com/name/nm0285007/,tt0021931,6.5,413
88,Fredric March,Dr. Jekyll and Mr. Hyde,5,1932,LeadingActor,False,nm0545298,tt0022835,https://www.imdb.com/title/tt0022835/,https://www.imdb.com/name/nm0545298/,tt0022835,7.6,11865
