,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
218,"Los Angeles, Ca",4-Dec-49,White,Lutheran,1.0,Straight,2010,Best Actor,http://www.nndb.com/people/779/000022713/,Crazy Heart,Jeff Bridges,tt1263670,https://www.imdb.com/title/tt1263670/
219,"London, England",29-Apr-57,White,Na,1.0,Straight,2013,Best Actor,http://www.nndb.com/people/788/000022722/,Lincoln,Daniel Day-Lewis,tt0443272,https://www.imdb.com/title/tt0443272/
220,"Uvalde, Tx",4-Nov-69,White,Na,1.0,Straight,2014,Best Actor,http://www.nndb.com/people/583/000023514/,Dallas Buyers Club,Matthew McConaughey,tt0790636,https://www.imdb.com/title/tt0790636/
221,"Bossier City, La",26-Dec-71,White,Na,1.0,Straight,2014,Best Supporting Actor,http://www.nndb.com/people/438/000026360/,Dallas Buyers Club,Jared Leto,tt0790636,https://www.imdb.com/title/tt0790636/
222,"Swampscott, Ma",25-Jul-1894,White,Na,1.0,Straight,1938,Best Supporting Actor,http://www.nndb.com/people/347/000032251/,Come and Get It,Walter Brennan,tt0027459,https://www.imdb.com/title/tt0027459/
223,"Vienna, Austria",22-Mar-1896,White,Na,1.0,Straight,1938,Best Supporting Actor,http://www.nndb.com/people/115/000063923/,The Life of Emile Zola,Joseph Schildkraut,tt0029146,https://www.imdb.com/title/tt0029146/
224,"Swampscott, Ma",25-Jul-1894,White,Na,1.0,Straight,1939,Best Supporting Actor,http://www.nndb.com/people/347/000032251/,Kentucky,Walter Brennan,tt0030317,https://www.imdb.com/title/tt0030317/
225,"Elizabeth, Nj",11-Jul-1892,White,Na,1.0,Straight,1940,Best Supporting Actor,http://www.nndb.com/people/116/000063924/,Stagecoach,Thomas Mitchell,tt0031971,https://www.imdb.com/title/tt0031971/
226,"Swampscott, Ma",25-Jul-1894,White,Na,1.0,Straight,1941,Best Supporting Actor,http://www.nndb.com/people/347/000032251/,The Westerner,Walter Brennan,tt0033253,https://www.imdb.com/title/tt0033253/
227,"Walters, Ok",13-Dec-10,White,Na,1.0,Straight,1943,Best Supporting Actor,http://www.nndb.com/people/680/000042554/,Johnny Eager,Van Heflin,tt0033774,https://www.imdb.com/title/tt0033774/
228,"Walters, Ok",13-Dec-10,White,Na,1.0,Straight,1943,Best Supporting Actor,http://www.nndb.com/people/680/000042554/,Johnny Eager,Van Heflin,tt0033774,https://www.imdb.com/title/tt0033774/
229,"Savannah, Ga",17-Jun-1877,White,Na,1.0,Straight,1944,Best Supporting Actor,http://www.nndb.com/people/127/000063935/,The More the Merrier,Charles Coburn,tt0036172,https://www.imdb.com/title/tt0036172/
230,New York City,2-Nov-1901,White,Na,1.0,Straight,1946,Best Supporting Actor,http://www.nndb.com/people/125/000063933/,A Tree Grows in Brooklyn,James Dunn,tt0038190,https://www.imdb.com/title/tt0038190/
231,"Vale of Glamorgan, Wales",26-Sep-1875,White,Na,1.0,Na,1948,Best Supporting Actor,http://www.nndb.com/people/123/000063931/,Miracle on 34th Street,Edmund Gwenn,tt0039628,https://www.imdb.com/title/tt0039628/
232,"Lima, Oh",7-Nov-1903,White,Na,1.0,Straight,1950,Best Supporting Actor,http://www.nndb.com/people/121/000063929/,Twelve O'Clock High,Dean Jagger,tt0041996,https://www.imdb.com/title/tt0041996/
233,"Chicago, Il",22-Mar-12,White,Na,1.0,Straight,1952,Best Supporting Actor,http://www.nndb.com/people/553/000022487/,A Streetcar Named Desire,Karl Malden,tt0044081,https://www.imdb.com/title/tt0044081/
234,"Darjeeling, India",5-Nov-13,White,Roman Catholic,1.0,Straight,1952,Best Actress,http://www.nndb.com/people/470/000022404/,A Streetcar Named Desire,Vivien Leigh,tt0044081,https://www.imdb.com/title/tt0044081/
235,"Detroit, Mi",12-Nov-22,White,Na,0.6897,Straight,1952,Best Supporting Actress,http://www.nndb.com/people/501/000051348/,A Streetcar Named Desire,Kim Hunter,tt0044081,https://www.imdb.com/title/tt0044081/
236,"Chihuahua, Mexico",21-Apr-15,Hispanic,Na,1.0,Straight,1953,Best Supporting Actor,http://www.nndb.com/people/228/000032132/,Viva Zapata!,Anthony Quinn,tt0045296,https://www.imdb.com/title/tt0045296/
237,New York City,10-Sep-15,White,Roman Catholic,1.0,Straight,1955,Best Supporting Actor,http://www.nndb.com/people/620/000042494/,The Barefoot Contessa,Edmond O'Brien,tt0046754,https://www.imdb.com/title/tt0046754/
238,"Newton, Ma",8-Feb-25,White,Roman Catholic,1.0,Straight,1956,Best Supporting Actor,http://www.nndb.com/people/714/000026636/,Mister Roberts,Jack Lemmon,tt0048380,https://www.imdb.com/title/tt0048380/
239,"Chihuahua, Mexico",21-Apr-15,Hispanic,Na,1.0,Straight,1957,Best Supporting Actor,http://www.nndb.com/people/228/000032132/,Lust for Life,Anthony Quinn,tt0049456,https://www.imdb.com/title/tt0049456/
240,New York City,5-Feb-19,White,Jewish,1.0,Straight,1958,Best Supporting Actor,http://www.nndb.com/people/820/000022754/,Sayonara,Red Buttons,tt0050933,https://www.imdb.com/title/tt0050933/
241,"Otaro, Hokkaido, Japan",3-Apr-29,Asian,Na,1.0,Straight,1958,Best Supporting Actress,http://www.nndb.com/people/091/000063899/,Sayonara,Miyoshi Umeki,tt0050933,https://www.imdb.com/title/tt0050933/
242,"Hunt City, Il",14-Jun-09,White,Na,1.0,Straight,1959,Best Supporting Actor,http://www.nndb.com/people/679/000042553/,The Big Country,Burl Ives,tt0051411,https://www.imdb.com/title/tt0051411/
243,"London, England",16-Apr-21,White,Na,1.0,Straight,1961,Best Supporting Actor,http://www.nndb.com/people/810/000022744/,Spartacus,Peter Ustinov,tt0054331,https://www.imdb.com/title/tt0054331/
244,"Hartford, Ct",25-Mar-1901,White,Na,1.0,Straight,1963,Best Supporting Actor,http://www.nndb.com/people/915/000043786/,Sweet Bird of Youth,"Ed Begley, Sr.",tt0056541,https://www.imdb.com/title/tt0056541/
245,"Macon, Ga",5-Apr-1901,White,Jewish,1.0,Straight,1964,Best Supporting Actor,http://www.nndb.com/people/100/000063908/,Hud,Melvyn Douglas,tt0057163,https://www.imdb.com/title/tt0057163/
246,"Packard, Ky",20-Jan-26,White,Roman Catholic,1.0,Straight,1964,Best Actress,http://www.nndb.com/people/226/000042100/,Hud,Patricia Neal,tt0057163,https://www.imdb.com/title/tt0057163/
247,"London, England",16-Apr-21,White,Na,1.0,Straight,1965,Best Supporting Actor,http://www.nndb.com/people/810/000022744/,Topkapi,Peter Ustinov,tt0058672,https://www.imdb.com/title/tt0058672/
248,"Bronx, Ny",4-Nov-19,White,Na,1.0,Straight,1966,Best Supporting Actor,http://www.nndb.com/people/111/000063919/,A Thousand Clowns,Martin Balsam,tt0059798,https://www.imdb.com/title/tt0059798/
249,New York City,1-Oct-20,White,Jewish,1.0,Straight,1967,Best Supporting Actor,http://www.nndb.com/people/768/000023699/,The Fortune Cookie,Walter Matthau,tt0060424,https://www.imdb.com/title/tt0060424/
250,New York City,18-Feb-25,White,Na,1.0,Straight,1968,Best Supporting Actor,http://www.nndb.com/people/001/000022932/,Cool Hand Luke,George Kennedy,tt0061512,https://www.imdb.com/title/tt0061512/
251,"Malden, Ma",16-Jun-07,White,Na,1.0,Na,1969,Best Supporting Actor,http://www.nndb.com/people/559/000049412/,The Subject Was Roses,Jack Albertson,tt0063654,https://www.imdb.com/title/tt0063654/
252,"Malden, Ma",16-Jun-07,White,Na,1.0,Na,1969,Best Supporting Actor,http://www.nndb.com/people/559/000049412/,The Subject Was Roses,Jack Albertson,tt0063654,https://www.imdb.com/title/tt0063654/
253,"St. Cloud, Mn",4-Nov-13,White,Na,1.0,Straight,1970,Best Supporting Actor,http://www.nndb.com/people/110/000063918/,"They Shoot Horses, Don't They?",Gig Young,tt0065088,https://www.imdb.com/title/tt0065088/
254,"Felixstowe, Suffolk, England",22-Feb-08,White,Na,1.0,Straight,1971,Best Supporting Actor,http://www.nndb.com/people/701/000030611/,Ryan's Daughter,John Mills,tt0066319,https://www.imdb.com/title/tt0066319/
255,"Shidler, Ok",13-Jun-18,White,Na,1.0,Straight,1972,Best Supporting Actor,http://www.nndb.com/people/425/000064233/,The Last Picture Show,Ben Johnson,tt0067328,https://www.imdb.com/title/tt0067328/
256,"Des Moines, Ia",30-Apr-26,White,Na,1.0,Straight,1972,Best Supporting Actress,http://www.nndb.com/people/177/000023108/,The Last Picture Show,Cloris Leachman,tt0067328,https://www.imdb.com/title/tt0067328/
257,"Bucharest, Romania",22-Sep-1902,White,Na,1.0,Straight,1974,Best Supporting Actor,http://www.nndb.com/people/686/000042560/,The Paper Chase,John Houseman,tt0070509,https://www.imdb.com/title/tt0070509/
258,New York City,20-Jan-1896,White,Jewish,1.0,Straight,1976,Best Supporting Actor,http://www.nndb.com/people/895/000022829/,The Sunshine Boys,George Burns,tt0073766,https://www.imdb.com/title/tt0073766/
259,"Chicago, Il",26-Jul-22,White,Na,1.0,Straight,1977,Best Supporting Actor,http://www.nndb.com/people/224/000032128/,All the President's Men,Jason Robards,tt0074119,https://www.imdb.com/title/tt0074119/
260,"Chicago, Il",26-Jul-22,White,Na,1.0,Straight,1977,Best Supporting Actor,http://www.nndb.com/people/224/000032128/,All the President's Men,Jason Robards,tt0074119,https://www.imdb.com/title/tt0074119/
261,"Chicago, Il",26-Jul-22,White,Na,1.0,Straight,1978,Best Supporting Actor,http://www.nndb.com/people/224/000032128/,Julia,Jason Robards,tt0076245,https://www.imdb.com/title/tt0076245/
262,"London, England",30-Jan-37,White,Na,1.0,Straight,1978,Best Supporting Actress,http://www.nndb.com/people/590/000023521/,Julia,Vanessa Redgrave,tt0076245,https://www.imdb.com/title/tt0076245/
263,"Macon, Ga",5-Apr-1901,White,Jewish,1.0,Straight,1980,Best Supporting Actor,http://www.nndb.com/people/100/000063908/,Being There,Melvyn Douglas,tt0078841,https://www.imdb.com/title/tt0078841/
264,"Malibu, Ca",16-Aug-60,White,Na,1.0,Straight,1981,Best Supporting Actor,http://www.nndb.com/people/378/000024306/,Oridnary People,Timothy Hutton,tt0081283,https://www.imdb.com/title/tt0081283/
265,"London, England",14-Apr-04,White,Na,1.0,Gay,1982,Best Supporting Actor,http://www.nndb.com/people/589/000033490/,Arthur,John Gielgud,tt0082031,https://www.imdb.com/title/tt0082031/
266,"Brooklyn, Ny",27-May-36,Black,Na,1.0,Straight,1983,Best Supporting Actor,http://www.nndb.com/people/906/000023837/,An Officer and a Gentleman,"Lou Gossett, Jr.",tt0084434,https://www.imdb.com/title/tt0084434/
267,New York City,22-Apr-37,White,Atheist,1.0,Straight,1984,Best Supporting Actor,http://www.nndb.com/people/722/000022656/,Terms of Endearment,Jack Nicholson,tt0086425,https://www.imdb.com/title/tt0086425/
268,"Richmond, Va",24-Apr-34,White,Baptist,1.0,Straight,1984,Best Actress,http://www.nndb.com/people/799/000023730/,Terms of Endearment,Shirley MacLaine,tt0086425,https://www.imdb.com/title/tt0086425/
269,"Samrong Young, Cambodia",22-Mar-40,Asian,Buddhist,1.0,Straight,1985,Best Supporting Actor,http://www.nndb.com/people/093/000063901/,The Killing Fields,Haing S. Ngor,tt0087553,https://www.imdb.com/title/tt0087553/
270,"Kenosha, Wi",31-May-04,White,Roman Catholic,1.0,Straight,1986,Best Supporting Actor,http://www.nndb.com/people/736/000024664/,Cocoon,Don Ameche,tt0088933,https://www.imdb.com/title/tt0088933/
271,"Bermondsey, England",14-Mar-33,White,Na,1.0,Straight,1987,Best Supporting Actor,http://www.nndb.com/people/754/000022688/,Hannah and Her Sisters,Michael Caine,tt0091167,https://www.imdb.com/title/tt0091167/
272,"Kansas City, Mo",28-Mar-48,White,Na,1.0,Straight,1987,Best Supporting Actress,http://www.nndb.com/people/894/000024822/,Hannah and Her Sisters,Dianne Wiest,tt0091167,https://www.imdb.com/title/tt0091167/
273,"Edinburgh, Scotland",25-Aug-30,White,Roman Catholic,1.0,Straight,1988,Best Supporting Actor,http://www.nndb.com/people/881/000022815/,The Untouchables,Sean Connery,tt0094226,https://www.imdb.com/title/tt0094226/
274,"St. Louis, Mo",24-Oct-47,White,Roman Catholic,1.0,Straight,1989,Best Supporting Actor,http://www.nndb.com/people/819/000024747/,A Fish Called Wanda,Kevin Kline,tt0095159,https://www.imdb.com/title/tt0095159/
275,"Mount Vernon, Ny",28-Dec-54,Black,Protestant,1.0,Straight,1990,Best Supporting Actor,http://www.nndb.com/people/665/000023596/,Glory,Denzel Washington,tt0097441,https://www.imdb.com/title/tt0097441/
276,"Newark, Nj",9-Feb-43,White,Na,1.0,Straight,1991,Best Supporting Actor,http://www.nndb.com/people/582/000022516/,Good Fellas,Joe Pesci,tt0099685,https://www.imdb.com/title/tt0099685/
277,"Lattimer Mines, Pa",18-Feb-19,White,Na,1.0,Straight,1992,Best Supporting Actor,http://www.nndb.com/people/579/000022513/,City Slickers,Jack Palance,tt0101587,https://www.imdb.com/title/tt0101587/
278,"San Saba, Tx",15-Sep-46,White,Na,1.0,Straight,1994,Best Supporting Actor,http://www.nndb.com/people/530/000022464/,The Fugitive,Tommy Lee Jones,tt0106977,https://www.imdb.com/title/tt0106977/
279,"Brooklyn, Ny",20-Jun-31,White,Jewish,1.0,Straight,1995,Best Supporting Actor,http://www.nndb.com/people/431/000023362/,Ed Wood,Martin Landau,tt0109707,https://www.imdb.com/title/tt0109707/
280,"South Orange, Nj",26-Jul-59,White,Na,1.0,Matter of Dispute,1996,Best Supporting Actor,http://www.nndb.com/people/591/000023522/,The Usual Suspects,Kevin Spacey,tt0114814,https://www.imdb.com/title/tt0114814/
281,"Bronx, Ny",2-Jan-68,Black,Na,1.0,Straight,1997,Best Supporting Actor,http://www.nndb.com/people/587/000023518/,Jerry Maguire,"Cuba Gooding, Jr.",tt0116695,https://www.imdb.com/title/tt0116695/
282,"Chicago, Il",21-Jul-51,White,Anglican/episcopalian,1.0,Straight,1998,Best Supporting Actor,http://www.nndb.com/people/606/000022540/,Good Will Hunting,Robin Williams,tt0119217,https://www.imdb.com/title/tt0119217/
283,"Laurel, Ne",31-Aug-28,White,Na,1.0,Straight,1999,Best Supporting Actor,http://www.nndb.com/people/764/000022698/,Affliction,James Coburn,tt0118564,https://www.imdb.com/title/tt0118564/
284,"Laurel, Ne",31-Aug-28,White,Na,1.0,Straight,1999,Best Supporting Actor,http://www.nndb.com/people/764/000022698/,Affliction,James Coburn,tt0118564,https://www.imdb.com/title/tt0118564/
285,"Bermondsey, England",14-Mar-33,White,Na,1.0,Straight,2000,Best Supporting Actor,http://www.nndb.com/people/754/000022688/,The Cider House Rules,Michael Caine,tt0124315,https://www.imdb.com/title/tt0124315/
286,"Lincoln, Lincolnshire, England",24-May-49,White,Na,1.0,Straight,2002,Best Supporting Actor,http://www.nndb.com/people/092/000063900/,Iris,Jim Broadbent,tt0280778,https://www.imdb.com/title/tt0280778/
287,"Kansas City, Mo",9-Jul-51,White,Na,1.0,Straight,2003,Best Supporting Actor,http://www.nndb.com/people/130/000025055/,Adaptation,Chris Cooper,tt0268126,https://www.imdb.com/title/tt0268126/
288,"West Covina, Ca",16-Oct-58,White,Roman Catholic,1.0,Straight,2004,Best Supporting Actor,http://www.nndb.com/people/614/000025539/,Mystic River,Tim Robbins,tt0327056,https://www.imdb.com/title/tt0327056/
289,"Lexington, Ky",6-May-61,White,Na,1.0,Straight,2006,Best Supporting Actor,http://www.nndb.com/people/763/000022697/,Syriana,George Clooney,tt0365737,https://www.imdb.com/title/tt0365737/
290,"Brooklyn, Ny",26-Mar-34,White,Jewish,1.0,Straight,2007,Best Supporting Actor,http://www.nndb.com/people/777/000022711/,Little Miss Sunshine,Alan Arkin,tt0449059,https://www.imdb.com/title/tt0449059/
291,"Perth, Australia",4-Apr-79,White,Na,1.0,Straight,2009,Best Supporting Actor,http://www.nndb.com/people/204/000029117/,The Dark Knight,Heath Ledger,tt0468569,https://www.imdb.com/title/tt0468569/
292,Na,4-Oct-56,White,Na,1.0,Straight,2010,Best Supporting Actor,http://www.nndb.com/people/455/000213813/,Inglourious Basterds,Christoph Waltz,tt0361748,https://www.imdb.com/title/tt0361748/
293,"Haverfordwest, Pembrokeshire, Wales",30-Jan-74,White,Na,1.0,Straight,2011,Best Supporting Actor,http://www.nndb.com/people/877/000031784/,The Fighter,Christian Bale,tt0964517,https://www.imdb.com/title/tt0964517/
294,New York City,14-Sep-60,White,Na,1.0,Straight,2011,Best Supporting Actress,http://www.nndb.com/people/327/000042201/,The Fighter,Melissa Leo,tt0964517,https://www.imdb.com/title/tt0964517/
295,"Toronto, Ontario, Canada",13-Dec-29,White,Na,1.0,Straight,2012,Best Supporting Actor,http://www.nndb.com/people/316/000023247/,Beginning,Christopher Plummer,tt1991203,https://www.imdb.com/title/tt1991203/
296,Na,4-Oct-56,White,Na,1.0,Straight,2013,Best Supporting Actor,http://www.nndb.com/people/455/000213813/,Django Unchained,Christoph Waltz,tt1853728,https://www.imdb.com/title/tt1853728/
297,"Philadelphia, Pa",6-Oct-06,White,Na,1.0,Straight,1929,Best Actress,http://www.nndb.com/people/129/000043000/,7th Heaven,Janet Gaynor,tt0018379,https://www.imdb.com/title/tt0018379/
298,"Toronto, Ontario, Canada",8-Apr-1892,White,Na,1.0,Straight,1930,Best Actress,http://www.nndb.com/people/683/000042557/,Coquette,Mary Pickford,tt0019788,https://www.imdb.com/title/tt0019788/
299,"Montreal, Quebec, Canada",10-Aug-1902,White,Na,1.0,Straight,1930,Best Actress,http://www.nndb.com/people/813/000063624/,The Divorcee,Norma Shearer,tt0020827,https://www.imdb.com/title/tt0020827/
300,"Cobourg, Ontario, Canada",2-Nov-1868,White,Na,1.0,Straight,1931,Best Actress,http://www.nndb.com/people/814/000063625/,Min and Bill,Marie Dressler,tt0021148,https://www.imdb.com/title/tt0021148/
301,"Washington, Dc",10-Oct-1900,White,Na,1.0,Straight,1932,Best Actress,http://www.nndb.com/people/908/000031815/,The Sin of Madelon Claudet,Helen Hayes,tt0022386,https://www.imdb.com/title/tt0022386/
302,"Hartford, Ct",12-May-07,White,Atheist,1.0,Bisexual,1934,Best Actress,http://www.nndb.com/people/775/000023706/,Morning Glory,Katharine Hepburn,tt0024353,https://www.imdb.com/title/tt0024353/
303,"Lowell, Ma",5-Apr-08,White,Na,1.0,Straight,1936,Best Actress,http://www.nndb.com/people/457/000026379/,Dangerous,Bette Davis,tt0026261,https://www.imdb.com/title/tt0026261/
304,"Dusseldorf, Germany",12-Jan-10,White,Jewish,1.0,Straight,1937,Best Actress,http://www.nndb.com/people/796/000030706/,The Great Ziegfeld,Luise Rainer,tt0027698,https://www.imdb.com/title/tt0027698/
305,"Dusseldorf, Germany",12-Jan-10,White,Jewish,1.0,Straight,1938,Best Actress,http://www.nndb.com/people/796/000030706/,The Good Earth,Luise Rainer,tt0028944,https://www.imdb.com/title/tt0028944/
306,"Lowell, Ma",5-Apr-08,White,Na,1.0,Straight,1939,Best Actress,http://www.nndb.com/people/457/000026379/,Jezebel,Bette Davis,tt0030287,https://www.imdb.com/title/tt0030287/
307,"Los Angeles, Ca",7-Dec-1891,White,Na,1.0,Straight,1939,Best Supporting Actress,http://www.nndb.com/people/074/000063882/,Jezebel,Fay Bainter,tt0030287,https://www.imdb.com/title/tt0030287/
308,"Independence, Mo",16-Jul-11,White,Christian Science,0.9597,Straight,1941,Best Actress,http://www.nndb.com/people/635/000043506/,Kitty Foyle,Ginger Rogers,tt0032671,https://www.imdb.com/title/tt0032671/
309,"Independence, Mo",16-Jul-11,White,Christian Science,1.0,Straight,1941,Best Actress,http://www.nndb.com/people/635/000043506/,Kitty Foyle,Ginger Rogers,tt0032671,https://www.imdb.com/title/tt0032671/
310,"Tokyo, Japan",22-Oct-17,White,Na,1.0,Straight,1940,Best Actress,http://www.nndb.com/people/487/000026409/,Suspicion,Joan Fontaine,tt0035605,https://www.imdb.com/title/tt0035605/
311,"London, England",29-Sep-04,White,Na,1.0,Straight,1942,Best Actress,http://www.nndb.com/people/293/000044161/,Mrs. Miniver,Greer Garson,tt0035093,https://www.imdb.com/title/tt0035093/
312,"Tulsa, Ok",2-Mar-19,White,Roman Catholic,1.0,Straight,1944,Best Actress,http://www.nndb.com/people/809/000063620/,The Song of Bernadette,Jennifer Jones,tt0036377,https://www.imdb.com/title/tt0036377/
313,"Stockholm, Sweden",29-Aug-15,White,Na,1.0,Straight,1945,Best Actress,http://www.nndb.com/people/836/000024764/,Gaslight,Ingrid Bergman,tt0036855,https://www.imdb.com/title/tt0036855/
314,"San Antonio, Tx",23-Mar-05,White,Christian Science,1.0,Bisexual,1946,Best Actress,http://www.nndb.com/people/837/000031744/,Mildred Pierce,Joan Crawford,tt0037913,https://www.imdb.com/title/tt0037913/
315,"Tokyo, Japan",1-Jul-16,White,Na,1.0,Straight,1947,Best Actress,http://www.nndb.com/people/741/000022675/,To Each His Own,Olivia de Havilland,tt0039040,https://www.imdb.com/title/tt0039040/
316,"Salt Lake City, Ut",6-Jan-13,White,Roman Catholic,1.0,Straight,1948,Best Actress,http://www.nndb.com/people/089/000031993/,The Farmer's Daughter,Loretta Young,tt0039370,https://www.imdb.com/title/tt0039370/
317,"St. Joseph, Mo",5-Jan-17,White,Roman Catholic,1.0,Straight,1949,Best Actress,http://www.nndb.com/people/656/000022590/,Johnny Belinda,Jane Wyman,tt0040495,https://www.imdb.com/title/tt0040495/
318,"Tokyo, Japan",1-Jul-16,White,Na,1.0,Straight,1950,Best Actress,http://www.nndb.com/people/741/000022675/,The Heiress,Olivia de Havilland,tt0041452,https://www.imdb.com/title/tt0041452/
319,New York City,21-Jun-21,White,Na,1.0,Straight,1951,Best Actress,http://www.nndb.com/people/808/000063619/,Born Yesterday,Judy Holliday,tt0042276,https://www.imdb.com/title/tt0042276/
320,New York City,30-Aug-1898,White,Na,1.0,Straight,1953,Best Actress,http://www.nndb.com/people/807/000063618/,"Come Back, Little Sheba",Shirley Booth,tt0044509,https://www.imdb.com/title/tt0044509/
321,"Brussels, Belgium",4-May-29,White,Christian Science,1.0,Straight,1954,Best Actress,http://www.nndb.com/people/933/000026855/,Roman Holiday,Audrey Hepburn,tt0046250,https://www.imdb.com/title/tt0046250/
322,"Philadelphia, Pa",12-Nov-29,White,Roman Catholic,1.0,Straight,1955,Best Actress,http://www.nndb.com/people/770/000025695/,The Country Girl,Grace Kelly,tt0046874,https://www.imdb.com/title/tt0046874/
323,"Rome, Italy",7-Mar-08,White,Na,1.0,Straight,1956,Best Actress,http://www.nndb.com/people/806/000063617/,The Rose Tattoo,Anna Magnani,tt0048563,https://www.imdb.com/title/tt0048563/
324,"Stockholm, Sweden",29-Aug-15,White,Na,1.0,Straight,1957,Best Actress,http://www.nndb.com/people/836/000024764/,Anastasia,Ingrid Bergman,tt0048947,https://www.imdb.com/title/tt0048947/
325,"Thomasville, Ga",27-Feb-30,White,Na,1.0,Straight,1958,Best Actress,http://www.nndb.com/people/747/000043618/,The Three Faces of Eve,Joanne Woodward,tt0051077,https://www.imdb.com/title/tt0051077/
326,"Thomasville, Ga",27-Feb-30,White,Na,1.0,Straight,1958,Best Actress,http://www.nndb.com/people/747/000043618/,The Three Faces of Eve,Joanne Woodward,tt0051077,https://www.imdb.com/title/tt0051077/
327,"Brooklyn, Ny",30-Jun-18,White,Roman Catholic,1.0,Straight,1959,Best Actress,http://www.nndb.com/people/805/000063616/,I Want To Live!,Susan Hayward,tt0051758,https://www.imdb.com/title/tt0051758/
328,"Wiesbaden, Germany",25-Mar-21,White,Na,1.0,Straight,1960,Best Actress,http://www.nndb.com/people/804/000063615/,Room at the Top,Simone Signoret,tt0053226,https://www.imdb.com/title/tt0053226/
329,"London, England",27-Feb-32,White,Jewish,1.0,Straight,1961,Best Actress,http://www.nndb.com/people/624/000023555/,Butterfield 8,Elizabeth Taylor,tt0053622,https://www.imdb.com/title/tt0053622/
330,"Pozzuoli, Italy",20-Sep-34,White,Roman Catholic,1.0,Straight,1962,Best Actress,http://www.nndb.com/people/811/000023742/,Two Women,Sophia Loren,tt0054749,https://www.imdb.com/title/tt0054749/
331,"Bronx, Ny",17-Sep-31,White,Roman Catholic,1.0,Straight,1963,Best Actress,http://www.nndb.com/people/439/000023370/,The Miracle Worker,Anne Bancroft,tt0056241,https://www.imdb.com/title/tt0056241/
332,"Elmhurst, Ny",14-Dec-46,White,Roman Catholic,1.0,Straight,1963,Best Supporting Actress,http://www.nndb.com/people/775/000022709/,The Miracle Worker,Patty Duke,tt0056241,https://www.imdb.com/title/tt0056241/
333,"Walton-on-Thames, Surrey, England",1-Oct-35,White,Na,1.0,Straight,1965,Best Actress,http://www.nndb.com/people/874/000023805/,Mary Poppins,Julie Andrews,tt0058331,https://www.imdb.com/title/tt0058331/
334,"Chabua, Assam, India",14-Apr-41,White,Na,1.0,Straight,1966,Best Actress,http://www.nndb.com/people/801/000063612/,Darling,Julie Christie,tt0059084,https://www.imdb.com/title/tt0059084/
335,"London, England",27-Feb-32,White,Jewish,1.0,Straight,1967,Best Actress,http://www.nndb.com/people/624/000023555/,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,tt0061184,https://www.imdb.com/title/tt0061184/
336,"Hastings, Ne",27-Apr-37,White,Na,1.0,Bisexual,1967,Best Supporting Actress,http://www.nndb.com/people/961/000063772/,Who's Afraid of Virginia Woolf?,Sandy Dennis,tt0061184,https://www.imdb.com/title/tt0061184/
337,"London, England",27-Feb-32,White,Jewish,1.0,Straight,1967,Best Actress,http://www.nndb.com/people/624/000023555/,Who's Afraid of Virginia Woolf?,Elizabeth Taylor,tt0061184,https://www.imdb.com/title/tt0061184/
338,"Hartford, Ct",12-May-07,White,Atheist,1.0,Bisexual,1968,Best Actress,http://www.nndb.com/people/775/000023706/,Guess Who's Coming to Dinner,Katharine Hepburn,tt0061735,https://www.imdb.com/title/tt0061735/
339,"Brooklyn, Ny",24-Apr-42,White,Jewish,1.0,Straight,1969,Best Actress,http://www.nndb.com/people/526/000022460/,Funny Girl,Barbra Streisand,tt0062994,https://www.imdb.com/title/tt0062994/
340,"Hartford, Ct",12-May-07,White,Atheist,1.0,Bisexual,1969,Best Actress,http://www.nndb.com/people/775/000023706/,The Lion in Winter,Katharine Hepburn,tt0063227,https://www.imdb.com/title/tt0063227/
341,"Ilford, Essex, England",28-Dec-34,White,Na,1.0,Straight,1970,Best Actress,http://www.nndb.com/people/260/000030170/,The Prime of Miss Jean Brodie,Maggie Smith,tt0064840,https://www.imdb.com/title/tt0064840/
342,"Ilford, Essex, England",28-Dec-34,White,Na,1.0,Straight,1970,Best Actress,http://www.nndb.com/people/260/000030170/,The Prime of Miss Jean Brodie,Maggie Smith,tt0064840,https://www.imdb.com/title/tt0064840/
343,"Birkenhead, Cheshire, England",9-May-36,White,Na,1.0,Straight,1971,Best Actress,http://www.nndb.com/people/799/000063610/,Women in Love,Glenda Jackson,tt0066579,https://www.imdb.com/title/tt0066579/
344,New York City,21-Dec-37,White,Born-Again Christian,1.0,Straight,1972,Best Actress,http://www.nndb.com/people/637/000022571/,Klute,Jane Fonda,tt0067309,https://www.imdb.com/title/tt0067309/
345,"Birkenhead, Cheshire, England",9-May-36,White,Na,1.0,Straight,1974,Best Actress,http://www.nndb.com/people/799/000063610/,A Touch of Class,Glenda Jackson,tt0070819,https://www.imdb.com/title/tt0070819/
346,"Detroit, Mi",7-Dec-32,White,Sufism,0.3333,Straight,1975,Best Actress,http://www.nndb.com/people/650/000023581/,Alice Doesn't Live Here Anymore,Ellen Burstyn,tt0071115,https://www.imdb.com/title/tt0071115/
347,"Pasadena, Ca",6-Nov-46,White,Na,1.0,Straight,1980,Best Actress,http://www.nndb.com/people/897/000022831/,Norma Rae,Sally Field,tt0079638,https://www.imdb.com/title/tt0079638/
